Crash_ID,Damaged_Property
16932835,GUARDRAIL
16932844,GOOSE CREEK CISD ALAMO ELEM. POWER GATE
16932856,PIPE-CABLE FENCE
16932864,MAILBOX
16932884,GUARDRAIL
16932900,CENTER CABLE GUARD RAIL
16932913,POWER LINE POLE
16932932,3 CRAPE MYRTLES
16932940,CITY LIGHT BROKEN
16932966,"SPEED LIMIT SIGN, POLE WITH SQUARE REFL"
16932974,APPROXIMATELY 50 FT OF GUARDRAIL
16933028,FENCE
16933101,APARTMENT BRICK WALL BUILDING (25 & 27)
16933125,GUARD RAIL
16933140,GUARD RAIL
16933183,COMMUNITY SIGN
16933230,MEDIAN BARRICADE DAMAGE
16933239,PLASTIC ROADSIDE BARRICADES WATER
16933268,LANDSCAPE ROCKS STREWN ABOUT
16933268,1 BUSH UPROOTED
16933271,ROAD SIGN AND POST
16933275,BARBED WIRE FENCE AND PIPE STRUCTURE
16933279,ELECTRIC POLE
16933288,COUNTY ROAD SIGN
16933288,TELEPHONE POLE
16933348,WOODEN UTILITY POLES 1S6W323 AND 1S6W28
16933378,CONCRETE BARRIER SCUFFSSCRAPES
16933392,LIGHT POLE
16933423,SIGNAL LIGHT POLE
16933440,12 FT METAL GUARDRAIL
16933440,3 METAL GUARDRAIL POSTS
16933468,80 FT GUARD RAIL DAMAGE
16933469,SMALL ENTRANCE SIGN AND LARGE SIGN
16933469,UTILITY POLE
16933484,LIGHT POLE AND 2 GUARDRAILS
16933486,GUARDRAIL
16933489,CONCRETE MAILBOX
16933490,LIGHT POLE
16933500,FENCE/BRICK WALL
16933510,APPROXIMATELY 25 FEET OF FENCE
16933539,LIGHT POLE CRACKED AND SPLIT
16933557,CHAIN-LINKED FENCE
16933557,WATER MAIN- 860 EUCLID ST
16933566,SPEED LIMIT SIGN
16933566,TREE IN FRONT OF RESIDENCE
16933575,METAL POLE DAMAGE
16933582,WOODEN FENCE
16933582,FIG TREE
16933588,PLASTIC CRASH BARRIER SECTION
16933602,50 ' METAL GUARDRAIL
16933638,GAURD RAILS
16933648,GUARDRAIL
16933659,UNIT 1 COLLIDED WITH A TREE
16933671,FENCE
16933677,CONCRETE WALL
16933738,UNDER GROUND CABLES SIGN
16933751,YELLOW GATE AND POLE
16933753,TELEPHONE WIRES / CABLE WIRES
16933756,FIRE HYDRANT
16933829,EXIT SIGN
16933829,EXIT SIGN
16933846,ELECTRICAL POLE AND CABLES $1500 DAMAGE
16933849,6 FOOT WOODEN PRIVACY FENCE
16933849,6 FOOT WOODEN PRIVACY FENCE AND TREE
16933860,"TXDOT ""SMALL SIGN"""
16933869,DAMAGED GAURD RAIL
16933901,UTILITY POLE
16933930,MAIL BOX DAMAGED
16933930,MAIL BOX DAMAGED
16933930,MAILBOX DAMAGED
16933951,BARBED WIRE FENCING AND WOODEN POSTS
16933982,CENTER CROSSOVER WIRE / BARRIER
16933983,NONE
16933990,FIRE HYDRANT
16933998,GUARDRAIL
16933998,BARBED WIRE FENCE
16934018,SPEED LIMIT SIGN 50 MPH
16934043,60 FT FENCE AND 6 POLE IN CONCRETE
16934067,DIRECTIONAL ARROW SIGN KNOCKED DOWN
16934095,WOODEN ELECTRIC POLE
16934113,GATE
16934113,FIRE HYDRANT
16934123,FENCE
16934168,ELECTRIC GATE
16934190,DAMAGE TO UTILITY POLE
16934205,"GUARDRAIL, POSTS"
16934269,CRASH ATTENUATOR
16934280,TRAILER
16934296,FENCE
16934306,NO U TURN SIGN
16934309,BRICK WITH IRONED FENCE
16934313,GUARDRAILS
16934331,POLE
16934345,FENCE
16934372,STREET LIGHT POLE NUMBER 223807
16934373,CONCRETE GUARDRAIL
16934378,3714 BACK FENCE
16934378,3710 BACK FENCE/HOUSE
16934378,3718  BACK FENCE
16934381,METAL STREET POLE
16934382,MAILBOX
16934388,LOADING DOCK
16934389,CABLE CONNETOR
16934406,POWER POLE
16934439,UTILITY POLE
16934445,LIGHT POLE
16934447,ROAD SIGN
16934458,PARK BENCH
16934461,ELECTRICAL POLE GUY WIRE
16934474,DAMAGED TRAFFIC SIGNAL POLE
16934483,LIGHT DAMAGE ON WB IH30 SVC/WESTMORELAND
16934496,LIGHT POLE
16934524,TELEPHONE POLE / WOODEN
16934604,CEMENT MAIL BOX
16934606,STREET SIGN
16934654,MAILBOX AND POST DAMAGE
16934654,CULVERT DAMAGE AT 1325 CR 607
