Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17239115,1,19
17239115,2,1
17239116,1,99
17239116,2,98
17239125,1,19
17239125,2,19
17239134,1,1
17239140,1,19
17239147,1,23
17239147,2,20
17239151,1,19
17239152,1,98
17239155,1,19
17239156,1,1
17239156,2,19
17239157,1,1
17239157,3,19
17239159,1,1
17239159,2,19
17239160,1,1
17239160,2,14
17239164,1,19
17239164,2,19
17239166,1,99
17239181,1,1
17239181,2,1
17239185,1,99
17239185,2,19
17239199,1,1
17239199,2,19
17239201,1,20
17239204,1,19
17239204,2,98
17239216,1,19
17239216,2,1
17239221,1,1
17239221,2,1
17239227,1,1
17239227,2,20
17239229,1,99
17239229,2,19
17239234,1,19
17239236,1,1
17239236,2,19
17239247,1,1
17239251,1,1
17239261,1,99
17239263,1,19
17239263,2,19
17239264,1,1
17239264,1,21
17239264,2,1
17239265,1,99
17239265,2,1
17239267,1,19
17239267,2,19
17239272,1,1
17239272,2,20
17239273,1,20
17239276,1,19
17239280,1,1
17239280,2,19
17239282,1,14
17239282,2,1
17239283,1,19
17239283,2,19
17239284,1,1
17239287,1,19
17239290,1,1
17239290,3,19
17239292,1,19
17239292,2,19
17239293,1,99
17239300,1,20
17239308,1,1
17239308,2,1
17239311,1,1
17239311,1,21
17239311,1,22
17239314,1,19
17239314,2,1
17239316,1,1
17239316,2,98
17239318,1,19
17239318,2,1
17239324,1,99
17239324,2,98
17239331,1,19
17239331,2,19
17239332,1,20
17239332,2,19
17239334,1,99
17239336,1,99
17239336,2,19
17239341,1,19
17239341,2,1
17239342,1,19
17239342,2,19
17239343,1,19
17239344,1,99
17239349,1,19
17239349,2,19
17239349,3,19
17239350,1,20
17239350,2,19
17239353,1,19
17239353,2,19
17239354,1,19
17239361,1,1
17239361,2,20
17239363,1,19
17239363,2,19
17239363,3,1
17239364,1,19
17239364,2,19
17239365,1,19
17239365,2,19
17239366,1,19
17239367,1,99
17239371,1,98
17239371,2,19
17239377,1,1
17239379,1,19
17239379,2,1
17239381,1,20
17239381,2,19
17239384,1,19
17239384,2,19
17239387,1,20
17239387,2,19
17239388,1,1
17239388,2,1
17239389,1,19
17239389,2,1
17239390,1,19
17239390,2,1
17239396,1,1
17239396,2,20
17239396,3,19
17239396,4,19
17239396,5,19
17239397,1,99
17239397,2,19
17239397,3,19
17239397,4,19
17239398,1,74
17239398,2,19
17239399,1,99
17239399,2,19
17239411,1,19
17239411,2,19
17239412,1,19
17239413,1,19
17239413,2,19
17239414,1,1
17239414,2,19
17239415,1,1
17239415,1,74
17239415,2,19
17239417,1,99
17239417,2,19
17239419,1,99
17239420,1,98
17239420,2,19
17239420,3,19
17239422,1,99
17239422,2,19
17239427,1,19
17239427,2,19
17239430,1,20
17239430,2,19
17239431,1,19
17239431,2,19
17239432,1,19
17239432,2,19
17239434,1,99
17239436,1,1
17239437,1,19
17239437,2,19
17239439,1,19
17239444,1,19
17239444,2,19
17239446,1,19
17239446,2,1
17239447,1,99
17239448,1,67
17239450,1,1
17239450,1,64
17239450,2,1
17239455,1,19
17239456,1,19
17239466,1,99
17239466,3,1
17239476,1,45
17239476,2,19
17239484,1,19
17239486,1,23
17239486,2,19
17239492,1,1
17239492,2,19
17239493,1,98
17239493,2,19
17239494,1,19
17239494,2,19
17239498,1,1
17239498,2,19
17239499,1,19
17239499,2,98
17239503,1,19
17239505,1,20
17239505,2,19
17239506,1,1
17239506,2,1
17239508,1,98
17239508,2,19
17239510,1,19
17239510,2,19
17239511,1,1
17239511,2,1
17239512,1,99
17239513,1,99
17239513,2,19
17239515,1,19
17239515,2,20
17239516,1,19
17239516,2,19
17239518,1,99
17239518,2,1
17239519,1,99
17239519,2,21
17239525,1,19
17239525,2,19
17239526,1,19
17239526,2,19
17239527,1,19
17239530,1,20
17239530,2,1
17239531,1,19
17239531,2,98
17239532,1,20
17239532,2,19
17239534,1,19
17239534,3,1
17239535,1,99
17239535,2,98
17239539,1,98
17239541,1,19
17239542,1,19
17239542,2,19
17239546,1,19
17239546,2,19
17239547,1,1
17239547,1,66
17239547,3,25
17239551,1,19
17239551,2,19
17239552,1,1
17239552,2,1
17239552,2,23
17239563,1,19
17239563,2,19
17239569,1,1
17239569,2,19
17239570,1,19
17239575,1,20
17239575,2,1
17239586,1,19
17239586,2,19
17239587,1,19
17239587,2,19
17239588,1,1
17239588,2,1
17239589,1,1
17239589,2,99
17239590,1,1
17239590,2,1
17239591,1,19
17239591,2,19
17239592,1,1
17239592,2,19
17239592,3,19
17239593,1,19
17239593,2,1
17239593,3,1
17239594,1,19
17239595,1,99
17239595,2,19
17239598,1,99
17239598,2,99
17239600,1,19
17239600,2,98
17239615,1,19
17239615,2,19
17239619,1,19
17239620,1,1
17239620,2,1
17239621,1,1
17239621,2,23
17239625,1,19
17239625,2,19
17239626,1,20
17239626,2,19
17239627,1,99
17239627,2,19
17239627,3,98
17239637,1,23
17239637,2,1
17239640,1,98
17239644,1,19
17239644,2,20
17239645,1,99
17239647,1,19
17239650,1,1
17239650,2,1
17239652,1,1
17239652,2,1
17239654,1,23
17239655,1,19
17239655,2,19
17239655,3,20
17239655,4,99
17239658,1,19
17239658,2,1
17239666,1,99
17239666,2,19
17239667,1,1
17239667,2,19
17239668,1,20
17239669,1,19
17239669,2,19
17239670,1,19
17239670,2,19
17239671,1,1
17239671,2,1
17239672,1,19
17239672,2,19
17239673,1,98
17239673,2,23
17239678,1,19
17239678,2,19
17239678,3,19
17239680,1,20
17239680,2,1
17239680,3,19
17239682,1,20
17239682,2,20
17239683,1,19
17239690,1,99
17239690,2,19
17239691,1,99
17239702,1,99
17239702,2,19
17239711,1,19
17239711,2,20
17239727,1,98
17239727,3,1
17239734,1,1
17239734,1,21
17239734,2,19
17239734,3,99
17239735,1,20
17239736,1,99
17239739,1,19
17239739,2,19
17239741,2,19
17239741,3,1
17239742,1,1
17239742,2,19
17239743,1,19
17239743,2,19
17239744,1,1
17239744,2,19
17239744,3,19
17239744,4,19
17239745,1,19
17239745,2,1
17239746,1,19
17239747,1,19
17239747,2,19
17239748,1,99
17239749,1,1
17239749,2,1
17239750,1,20
17239750,2,19
17239751,1,19
17239751,2,1
17239752,1,98
17239752,2,19
17239753,1,19
17239755,1,99
17239755,2,19
17239756,1,19
17239756,2,19
17239757,1,99
17239757,2,19
17239758,1,20
17239758,2,1
17239759,1,20
17239760,1,20
17239760,2,98
